Domain|Name|Title|Implementation|DefaultValue|Kind|Remarks
AST|01|Application Start-Up Procedure|Implementation of \texttt{CrFwAppStartUpProc.h}. Only a test stub is provided as default at framework level.|No default provided at framework level|SPC|
AST|02|Application Reset Procedure|Implementation of \texttt{CrFwAppResetProc.h}. Only a test stub is provided as default at framework level.|No default provided at framework level|SPC|
AST|03|Application Shutdown Procedure|Implementation of \texttt{CrFwAppShutdownProc.h}. Only a test stub is provided as default at framework level.|No default provided at framework level|SPC|
AST|04|State Machine Embedded in state START\_UP of Application State Machine|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|No state machine embedded in state START\_UP|SPC|
AST|05|State Machine Embedded in state NORMAL of Application State Machine|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|No state machine embedded in state NORMAL|SPC|
AST|06|State Machine Embedded in state RESET of Application State Machine|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|No state machine embedded in state RESET|SPC|
AST|07|State Machine Embedded in state SHUTDOWN of Application State Machine|\texttt{\#DEFINE} constant in \texttt{CrFwAppSmUserPar.h}|No state machine embedded in state SHUTDOWN|SPC|
BAS|01|Initialization Check in Initialization Procedure of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Always returns: 'check successful'|SPC|
BAS|02|Initialization Action in Initialization Procedure of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Do nothing and return: 'action successful'|SPC|
BAS|03|Configuration Check in Reset Procedure of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Always returns: 'check successful'|SPC|
BAS|04|Configuration Action in Reset Procedure of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Do nothing and return: 'action successful'|SPC|
BAS|05|Shutdown Action of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Do nothing|SPC|
BAS|06|Execution Procedure of Base Component|The Base Component is not available for direct use by application developers. This Adaptation Point is therefore not directly supported by the C2 Implementation but, where required, is supported by components which are derived from the Base Component.|Do the same dummy action (return without doing anything) whenever the procedure is executed|SPC|
FAC|01|\texttt{Make} Operation to dynamically instantiate a component|The only components which can be instantiated dynamically are report and command components. Their \texttt{make} operations are implemented in full (see \texttt{CrFwInFactoryMake*} and \texttt{CrFwOutFactoryMakeOutCmp} functions). This adaptation point is therefore closed by the C2 Implementation.|No default provided at framework level|SPC|
FAC|02|\texttt{Release} Operation to dynamically release a component|The only components which can be released  dynamically are report and command components. Their \texttt{release} operations are implemented in full (see \texttt{CrFwInFactoryRelease*} and \texttt{CrFwOutFactoryReleaseOutCmp} functions). This adaptation point is therefore closed by the C2 Implementation.|No default provided at framework level|SPC|
ICM|01|Initialization Check in Initialization Procedure of InCommand|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state  (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|Returns 'check successful' if information for initializing InCommand using data in incoming packet is valid|SPC|
